Class,Feature1,Feature2,Feature3,Feature4
Cancer,0.025409,0.051085,0.056305,0.021738
Cancer,0.025536,0.036123,0.054195,0.009735
Cancer,0.012817,0.029652,0.07929,0.050677
Cancer,0.019846,-0.010577,-0.0075045,0.019042
Cancer,0.039048,0.039355,0.0013434,0.026221
Cancer,0.023195,0.053826,0.036954,0.021554
Cancer,0.027017,0.010137,0.017656,0.011168
Cancer,0.039422,0.038869,0.031585,0.019633
Cancer,0.013438,0.016477,0.015752,0.0049188
Cancer,0.033716,0.041732,0.032643,0.028991
Cancer,0.066255,0.035819,0.027624,0.032933
Cancer,0.051855,0.059193,0.028716,0.018033
Cancer,0.0186,0.035478,0.024427,0.0031245
Cancer,0.036628,0.036853,0.026268,0.0041683
Cancer,0.023607,0.021078,0.044391,0.027615
Cancer,0.044965,0.016898,0.034155,0.043482
Cancer,0.012888,0.059058,0.075241,0.035306
Cancer,0.010651,0.029041,0.03081,0.04171
Cancer,0.055507,0.03528,0.025823,0.0011389
Cancer,0.012992,0.03201,0.021905,0.029833
Cancer,0.024248,0.026906,0.0061151,0.01338
Cancer,0.011953,0.028963,0.029276,0.052474
Cancer,0.057484,0.016112,0.020589,0.01647
Cancer,0.025853,0.0049371,0.011488,0.0061945
Cancer,0.014397,0.014378,0.016434,0.028526
Cancer,0.011891,0.014142,0.012632,0.030858
Cancer,0.01969,-0.0077656,-0.00097648,0.035468
Cancer,0.019361,0.024468,0.01194,0.018017
Cancer,0.039611,0.023438,0.036084,0.036514
Cancer,0.048258,0.035201,0.016974,0.021976
Cancer,0.013615,0.028152,0.028017,0.037887
Cancer,0.042804,0.018174,0.026451,0.020195
Cancer,0.012467,0.018006,0.0019141,0.0029633
Cancer,0.025996,-0.011775,0.0037081,0.012001
Cancer,0.057461,0.029299,0.047953,0.021519
Cancer,0.039104,0.044386,0.04018,0.025376
Cancer,0.056293,0.071281,0.060696,0.025112
Cancer,0.015448,0.019504,0.055092,0.040051
Cancer,0.044935,0.03614,0.014163,0.051091
Cancer,0.036086,0.046167,0.017666,0.022523
Cancer,0.02639,0.030302,0.017986,0.0082049
Cancer,0.039322,0.030201,0.046971,0.047787
Cancer,0.017206,0.022167,0.02583,0.044726
Cancer,0.022606,0.023183,-0.0053127,0.011994
Cancer,0.03146,0.034098,0.037023,0.0083518
Cancer,0.09922,0.078637,0.049993,0.016119
Cancer,0.067484,0.051155,0.040992,0.038131
Cancer,0.040157,0.027913,0.040278,0.049533
Cancer,0.091303,0.087401,0.074106,0.04541
Cancer,0.024703,0.028224,0.019512,0.043039
Cancer,0.052946,0.046346,0.036505,0.0078059
Cancer,0.030672,0.064668,0.049148,0.027144
Cancer,0.026407,0.0091038,0.059332,0.035729
Cancer,0.027604,0.021745,0.05394,0.032346
Cancer,0.036138,0.024931,0.025903,0.020947
Cancer,0.033139,0.028471,0.038894,0.047292
Cancer,0.025032,0.024949,0.028226,0.024648
Cancer,0.023862,0.035855,0.027652,0.014033
Cancer,-0.0041151,0.01536,0.024381,0.020986
Cancer,0.028202,0.031685,0.040725,0.03592
Cancer,0.011291,0.012047,0.023943,0.010763
Cancer,0.042397,0.037111,0.028272,0.031112
Cancer,0.046738,0.010143,0.00014261,0.012761
Cancer,0.074658,0.062374,0.046525,0.025397
Cancer,0.028891,0.011638,0.021886,0.028243
Cancer,0.031907,0.012722,0.022215,0.012962
Cancer,0.028173,0.030028,0.02561,0.020664
Cancer,-0.00079554,-0.0020906,0.013518,0.014125
Cancer,-0.0034555,0.013147,0.015243,0.026426
Cancer,0.042117,0.024893,0.024216,0.042519
Cancer,0.010332,0.015222,0.0081401,0.015446
Cancer,0.00011554,-0.0039074,-0.01382,0.033688
Cancer,0.046243,0.030056,0.020966,6.628e-05
Cancer,0.035955,0.031653,0.019334,-0.0059219
Cancer,0.023161,0.012441,0.0062457,0.024983
Cancer,0.072798,0.087645,0.08098,0.052083
Cancer,0.02089,0.018243,0.020265,0.019252
Cancer,0.032282,0.026255,0.008351,0.012897
Cancer,0.040597,0.06349,0.028496,0.030466
Cancer,0.040937,0.043384,0.049417,0.071312
Cancer,0.018449,0.036183,0.066895,0.068846
Cancer,0.0014132,-0.0024845,0.041727,-0.0037807
Cancer,0.033279,0.046686,0.016555,-0.0018675
Cancer,0.035495,0.025535,0.037334,0.042273
Cancer,0.027165,0.039641,0.033117,0.039674
Cancer,0.03853,0.025124,0.03762,0.034838
Cancer,0.038453,0.028941,0.059983,0.015817
Cancer,0.020704,0.013291,0.026822,0.026523
Cancer,0.040763,0.027041,0.029797,0.021181
Cancer,0.042658,0.045123,0.022629,0.021857
Cancer,0.032534,0.04232,0.067666,0.097785
Cancer,0.017607,0.066011,0.049302,0.06716
Cancer,0.035182,0.05775,0.046364,0.065372
Cancer,0.015613,0.025806,0.013641,0.016934
Cancer,0.0281,0.049914,0.041906,0.048828
Cancer,0.052895,0.048924,0.019553,0.022616
Cancer,0.033652,0.044239,0.040612,0.036295
Cancer,0.032484,0.044025,0.025602,0.0067709
Cancer,0.047458,0.04924,0.0047952,0.024805
Cancer,0.041817,0.046007,0.035664,0.029698
Cancer,0.012535,0.0078056,0.02539,0.032613
Cancer,0.034772,0.014157,0.029994,0.02345
Cancer,0.060786,0.069885,0.020512,-0.0061132
Cancer,0.06261,0.046276,0.025724,0.046551
Cancer,0.030035,0.0267,0.022258,0.037589
Cancer,0.044751,0.014407,0.040717,0.058004
Cancer,0.029941,0.019214,0.033224,0.028156
Cancer,0.042735,0.043176,0.020317,0.0373
Cancer,0.02272,-0.022688,0.032622,0.072652
Cancer,0.05956,0.036647,0.044351,0.029242
Cancer,0.031368,0.058271,0.082235,0.080607
Cancer,0.016457,0.003406,0.019426,0.03813
Cancer,0.021349,0.01481,0.056456,0.047756
Cancer,0.014835,0.0074963,-0.016533,0.014168
Cancer,0.042337,0.065955,0.048011,0.068675
Cancer,0.087323,0.10263,0.016079,0.061295
Cancer,0.026748,0.023512,0.056872,0.038072
Cancer,0.051973,0.025187,0.023382,0.061147
Cancer,0.035513,0.029744,0.037071,0.013285
Cancer,0.028432,0.025002,0.031678,0.019083
Normal,0.049996,0.034966,0.021635,0.022983
Normal,0.036712,0.023241,0.0093945,0.027737
Normal,0.047613,0.035457,0.0023889,0.0075911
Normal,0.01228,0.0091662,0.016408,0.009808
Normal,0.042003,0.028704,0.046251,0.043051
Normal,0.075746,0.047788,0.032955,0.021583
Normal,0.010293,0.02011,0.056221,0.053366
Normal,0.058621,0.069808,0.062625,0.013341
Normal,0.049316,0.12199,0.074147,0.05607
Normal,0.016241,0.017087,0.00067942,0.0080137
Normal,0.011719,0.014455,0.015144,0.015982
Normal,0.03131,0.02716,0.019606,0.016115
Normal,0.050717,0.048532,0.039248,0.02882
Normal,0.032788,0.044745,0.027708,0.035306
Normal,0.082697,0.12202,0.0723,0.05511
Normal,0.041912,0.040284,0.057637,0.037564
Normal,0.078806,0.062993,0.0075057,0.034418
Normal,0.024597,0.01304,0.019635,0.042366
